Dataset_Name,Dataset_Type,K_Value,Q_Budget,Iteration,Exec_Time_Coreset,Cost_P_C_Baseline,Cost_Q_C_prime,Cost_P_C_prime,Cost_Random,Exec_Time_Random
birb,image,8,512,4,0.3429,8191.28955078125,8338.24609375,8751.214,8843.109,0.0392
birb,image,8,512,5,0.3696,8191.28955078125,8014.47802734375,8353.01,9247.944,0.0379
birb,image,8,512,6,0.3116,8191.28955078125,8492.966796875,8718.421,9086.087,0.0402
birb,image,8,512,7,0.3056,8191.28955078125,7723.01318359375,8308.961,9263.737,0.0365
birb,image,8,512,8,0.3792,8191.28955078125,7794.7802734375,8383.301,8764.047,0.0388
birb,image,8,512,9,0.3435,8191.28955078125,7550.3349609375,8357.18,8774.408,0.0361
birb,image,8,1024,0,0.4677,8191.28955078125,8902.330078125,9018.403,8352.16,0.0411
birb,image,8,1024,1,0.3986,8191.28955078125,7941.18115234375,8267.223,8468.578,0.0366
birb,image,8,1024,2,0.4746,8191.28955078125,8224.2080078125,8703.725,8732.177,0.0401
birb,image,8,1024,3,0.4467,8191.28955078125,8390.0048828125,8822.752,8298.338,0.0361
birb,image,8,1024,4,0.3372,8191.28955078125,8513.1435546875,8691.821,8299.064,0.0393
birb,image,8,1024,5,0.379,8191.28955078125,8809.07421875,9011.194,8273.268,0.0392
birb,image,8,1024,6,0.4037,8191.28955078125,9189.48828125,9130.955,9270.61,0.0437
birb,image,8,1024,7,0.3801,8191.28955078125,8030.2578125,8314.392,9111.887,0.036
birb,image,8,1024,8,0.7591,8191.28955078125,8457.5615234375,8741.131,9092.183,0.0398
birb,image,8,1024,9,0.4226,8191.28955078125,8140.00732421875,8336.084,8296.131,0.0355
birb,image,8,4096,0,0.3163,8191.28955078125,9135.5400390625,9250.568,8212.166,0.0433
birb,image,8,4096,1,0.3112,8191.28955078125,8159.33447265625,8244.715,8238.981,0.0387
birb,image,8,4096,2,0.3317,8191.28955078125,8728.7744140625,8847.53,8979.035,0.0419
birb,image,8,4096,3,0.4316,8191.28955078125,8226.6376953125,8233.496,8221.616,0.0894
birb,image,8,4096,4,0.5807,8191.28955078125,8146.59228515625,8213.25,8650.557,0.0767
